#time,accel_x,accel_y,accel_z
1298.974354,-8808.450710,-76.609550,666.185348
1298.974665,-8956.491898,-383.047749,370.102971
1298.974977,-9178.553681,-153.219100,518.144159
1298.975289,-8882.471304,0.000000,518.144159
1298.975601,-8956.491898,-153.219100,370.102971
1298.975912,-8734.430116,-306.438199,592.164754
1298.976224,-8882.471304,0.000000,148.041188
1298.976536,-8956.491898,229.828649,222.061783
1298.976848,-8808.450710,-612.876398,592.164754
1298.977159,-9030.512492,0.000000,592.164754
1298.977471,-8956.491898,-153.219100,666.185348
1298.977783,-9030.512492,-306.438199,666.185348
1298.978095,-8660.409521,-153.219100,666.185348
1298.978406,-9178.553681,76.609550,444.123565
1298.978718,-8808.450710,612.876398,592.164754
1298.979030,-8734.430116,0.000000,444.123565
1298.979342,-8956.491898,0.000000,444.123565
1298.979653,-8956.491898,0.000000,518.144159
1298.979965,-8882.471304,0.000000,592.164754
1298.980277,-8660.409521,76.609550,592.164754
1298.980589,-8734.430116,0.000000,666.185348
1298.980900,-9030.512492,0.000000,444.123565
1298.981212,-9252.574275,0.000000,592.164754
1298.981524,-8882.471304,-229.828649,370.102971
1298.981836,-8586.388927,76.609550,148.041188
1298.982147,-8956.491898,0.000000,444.123565
1298.982459,-9104.533087,0.000000,370.102971
1298.982771,-9030.512492,0.000000,666.185348
1298.983083,-8956.491898,-229.828649,444.123565
1298.983394,-9030.512492,0.000000,592.164754
1298.983706,-8882.471304,-229.828649,592.164754
1298.984018,-8734.430116,-153.219100,370.102971
1298.984329,-9030.512492,76.609550,222.061783
1298.984641,-9030.512492,153.219100,518.144159
1298.984953,-8882.471304,76.609550,666.185348
1298.985265,-8808.450710,0.000000,666.185348
1298.985576,-8586.388927,0.000000,518.144159
1298.985888,-8512.368333,-229.828649,592.164754
1298.986200,-8956.491898,76.609550,222.061783
1298.986512,-8734.430116,229.828649,740.205942
1298.986823,-8734.430116,0.000000,370.102971
1298.987135,-8882.471304,0.000000,666.185348
1298.987447,-8956.491898,0.000000,592.164754
1298.987759,-8882.471304,0.000000,518.144159
1298.988070,-8734.430116,0.000000,740.205942
1298.988382,-8438.347739,0.000000,444.123565
1298.988694,-8660.409521,0.000000,592.164754
1298.989006,-8808.450710,0.000000,296.082377
1298.989317,-9030.512492,76.609550,592.164754
1298.989629,-8882.471304,0.000000,740.205942
1298.989941,-8808.450710,0.000000,740.205942
1298.990253,-8882.471304,0.000000,518.144159
1298.990564,-9030.512492,153.219100,592.164754
1298.990876,-8438.347739,0.000000,296.082377
1298.991188,-8882.471304,0.000000,444.123565
1298.991500,-8734.430116,76.609550,444.123565
1298.991811,-9030.512492,-153.219100,740.205942
1298.992123,-9104.533087,0.000000,518.144159
1298.992435,-8882.471304,0.000000,444.123565
1298.992747,-8808.450710,76.609550,518.144159
1298.993058,-9030.512492,0.000000,296.082377
1298.993370,-9030.512492,0.000000,518.144159
1298.993682,-9474.636058,153.219100,296.082377
1298.993994,-8882.471304,0.000000,814.226536
1298.994305,-8956.491898,-229.828649,592.164754
1298.994617,-9030.512492,-306.438199,518.144159
1298.994929,-8956.491898,-383.047749,444.123565
1298.995241,-8882.471304,-383.047749,592.164754
