#time,accel_x,accel_y,accel_z
1458.359204,-8956.491898,0.000000,592.164754
1458.359516,-8808.450710,0.000000,444.123565
1458.359827,-8660.409521,76.609550,518.144159
1458.360139,-8512.368333,0.000000,370.102971
1458.360450,-8956.491898,0.000000,444.123565
1458.360762,-8734.430116,76.609550,592.164754
1458.361073,-8956.491898,-229.828649,444.123565
1458.361385,-8808.450710,-306.438199,592.164754
1458.361696,-9104.533087,0.000000,444.123565
1458.362008,-8956.491898,0.000000,518.144159
1458.362319,-8660.409521,-76.609550,370.102971
1458.362631,-9252.574275,0.000000,444.123565
1458.362942,-9104.533087,306.438199,518.144159
1458.363254,-9030.512492,-153.219100,370.102971
1458.363565,-8882.471304,0.000000,592.164754
1458.363877,-8956.491898,0.000000,592.164754
1458.364188,-8956.491898,0.000000,518.144159
1458.364500,-8882.471304,76.609550,740.205942
1458.364811,-8882.471304,306.438199,740.205942
1458.365123,-8660.409521,-536.266849,740.205942
1458.365434,-8512.368333,0.000000,888.247130
1458.365746,-8734.430116,0.000000,666.185348
1458.366057,-8734.430116,-229.828649,592.164754
1458.366369,-8956.491898,0.000000,444.123565
1458.366680,-8808.450710,0.000000,518.144159
1458.366992,-8660.409521,153.219100,592.164754
1458.367303,-8882.471304,383.047749,444.123565
1458.367615,-8882.471304,-306.438199,370.102971
1458.367926,-8512.368333,-153.219100,518.144159
1458.368238,-8882.471304,153.219100,370.102971
1458.368549,-9030.512492,0.000000,518.144159
1458.368861,-8882.471304,-153.219100,518.144159
1458.369172,-9030.512492,0.000000,518.144159
1458.369484,-8660.409521,76.609550,740.205942
1458.369795,-8882.471304,0.000000,370.102971
1458.370107,-8956.491898,76.609550,296.082377
1458.370418,-8956.491898,0.000000,148.041188
1458.370730,-9030.512492,0.000000,444.123565
1458.371041,-8808.450710,-153.219100,518.144159
1458.371353,-8956.491898,-153.219100,592.164754
1458.371664,-8956.491898,0.000000,444.123565
1458.371976,-8734.430116,0.000000,370.102971
1458.372287,-9178.553681,-842.705048,222.061783
1458.372599,-9252.574275,153.219100,370.102971
1458.372910,-8808.450710,-153.219100,370.102971
1458.373222,-8956.491898,0.000000,518.144159
1458.373533,-9030.512492,0.000000,592.164754
1458.373845,-9104.533087,-153.219100,444.123565
1458.374156,-8882.471304,76.609550,592.164754
1458.374468,-8808.450710,0.000000,592.164754
1458.374779,-8808.450710,76.609550,740.205942
1458.375091,-9104.533087,383.047749,222.061783
1458.375402,-8882.471304,153.219100,222.061783
1458.375714,-8956.491898,-153.219100,444.123565
1458.376025,-8956.491898,-153.219100,370.102971
1458.376337,-8956.491898,0.000000,592.164754
1458.376648,-9030.512492,229.828649,740.205942
1458.376960,-8956.491898,-689.485948,444.123565
1458.377271,-8290.306550,0.000000,518.144159
1458.377583,-9104.533087,536.266849,296.082377
1458.377894,-8882.471304,-76.609550,444.123565
1458.378206,-8956.491898,0.000000,370.102971
1458.378517,-8956.491898,0.000000,444.123565
1458.378829,-8882.471304,-153.219100,444.123565
1458.379140,-8586.388927,306.438199,592.164754
1458.379452,-8734.430116,0.000000,370.102971
1458.379763,-8586.388927,0.000000,370.102971
1458.380075,-9030.512492,0.000000,888.247130
1458.380387,-8808.450710,0.000000,888.247130
1458.380698,-8882.471304,0.000000,740.205942
1458.381010,-8808.450710,0.000000,444.123565
1458.381321,-8882.471304,0.000000,592.164754
1458.381633,-8956.491898,0.000000,222.061783
1458.381944,-8956.491898,-919.314598,518.144159
1458.382256,-8586.388927,0.000000,814.226536
1458.382567,-8734.430116,-612.876398,666.185348
1458.382879,-9030.512492,-229.828649,518.144159
1458.383190,-9104.533087,-306.438199,370.102971
1458.383502,-9030.512492,-153.219100,370.102971
1458.383813,-8956.491898,0.000000,518.144159
1458.384125,-9104.533087,0.000000,444.123565
1458.384436,-8882.471304,536.266849,740.205942
1458.384748,-8956.491898,0.000000,888.247130
1458.385059,-8660.409521,229.828649,518.144159
1458.385371,-8956.491898,0.000000,518.144159
1458.385682,-8956.491898,76.609550,592.164754
1458.385994,-8808.450710,-306.438199,592.164754
1458.386305,-9104.533087,383.047749,444.123565
1458.386617,-8956.491898,-153.219100,518.144159
1458.386928,-8734.430116,229.828649,370.102971
1458.387240,-9178.553681,0.000000,-0.000000
1458.387551,-9030.512492,-76.609550,296.082377
1458.387863,-9178.553681,0.000000,370.102971
1458.388174,-11251.130318,306.438199,-0.000000
1458.388486,-11399.171507,2757.943793,296.082377
1458.388797,-8882.471304,4903.011187,370.102971
1458.389109,-7624.121203,4136.915689,740.205942
1458.389420,-6513.812290,1455.581446,1406.391290
1458.389732,-6883.915261,-995.924147,-148.041188
1458.390043,-7550.100608,-1072.533697,-148.041188
1458.390355,-7550.100608,-153.219100,-370.102971
1458.390666,-11991.336260,-689.485948,-1258.350101
1458.390978,-12583.501014,-306.438199,-296.082377
1458.391289,-10140.821405,919.314598,814.226536
1458.391601,-8660.409521,-229.828649,1702.473667
1458.391912,-9400.615463,-229.828649,2516.700203
1458.392224,-11843.295072,919.314598,1554.432478
1458.392535,-8216.285956,4673.182538,2590.720797
1458.392847,-4959.379811,5439.278036,1776.494261
1458.393158,-7624.121203,3294.210641,518.144159
1458.393470,-7624.121203,2604.724693,-592.164754
1458.393781,-7328.038826,3217.601092,-2368.659014
1458.394093,-8734.430116,3677.258390,-1406.391290
1458.394404,-9030.512492,3677.258390,-296.082377
1458.394716,-12731.542202,2068.457845,-1110.308913
1458.395027,-13841.851115,-995.924147,1184.329507
1458.395339,-8216.285956,-995.924147,2812.782580
1458.395650,-9918.759623,459.657299,962.267725
1458.395962,-8216.285956,5132.839837,2590.720797
1458.396273,-8068.244768,4979.620737,888.247130
1458.396585,-7105.977043,2528.115143,1776.494261
1458.396896,-6513.812290,4673.182538,2738.761985
1458.397208,-8290.306550,6588.421283,888.247130
1458.397519,-8364.327145,6435.202183,-888.247130
1458.397831,-9104.533087,4903.011187,-1258.350101
1458.398142,-9326.594869,4673.182538,-1406.391290
1458.398454,-10362.883188,5669.106685,-1036.288319
1458.398765,-11621.233289,5898.935335,-148.041188
1458.399077,-11325.150913,4903.011187,1406.391290
1458.399388,-10436.903782,4673.182538,1776.494261
1458.399700,-9326.594869,5286.058936,2664.741391
1458.400011,-7105.977043,5209.449386,1258.350101
1458.400323,-5625.565159,6052.154434,-0.000000
1458.400634,-4959.379811,5209.449386,592.164754
1458.400946,-5477.523971,5975.544884,-518.144159
1458.401257,-5995.668130,4519.963438,-666.185348
1458.401569,-8068.244768,3753.867940,-1332.370696
1458.401880,-9178.553681,3524.039291,-740.205942
1458.402192,-10436.903782,1991.848295,592.164754
1458.402503,-10807.006753,919.314598,814.226536
1458.402815,-11399.171507,0.000000,1702.473667
1458.403126,-10955.047942,842.705048,1998.556043
1458.403438,-9400.615463,2834.553343,2368.659014
1458.403749,-8216.285956,4366.744339,1554.432478
1458.404061,-6883.915261,3830.477490,148.041188
1458.404372,-6513.812290,3830.477490,-518.144159
1458.404684,-6809.894666,4060.306139,-814.226536
1458.404995,-6661.853478,3677.258390,-962.267725
