#time,accel_x,accel_y,accel_z
1319.663446,-8956.491898,153.219100,592.164754
1319.663758,-9030.512492,-383.047749,370.102971
1319.664069,-8586.388927,-153.219100,518.144159
1319.664381,-8734.430116,306.438199,444.123565
1319.664692,-8956.491898,0.000000,370.102971
1319.665004,-8808.450710,0.000000,518.144159
1319.665315,-8882.471304,0.000000,518.144159
1319.665627,-8882.471304,0.000000,518.144159
1319.665938,-8660.409521,-612.876398,444.123565
1319.666250,-8808.450710,-76.609550,592.164754
1319.666562,-8808.450710,0.000000,296.082377
1319.666873,-9030.512492,-306.438199,148.041188
1319.667185,-8882.471304,0.000000,592.164754
1319.667496,-8882.471304,0.000000,592.164754
1319.667808,-8734.430116,0.000000,666.185348
1319.668119,-9030.512492,153.219100,518.144159
1319.668431,-8734.430116,229.828649,370.102971
1319.668742,-9030.512492,229.828649,444.123565
1319.669054,-8808.450710,-459.657299,666.185348
1319.669365,-8956.491898,0.000000,518.144159
1319.669677,-9030.512492,-153.219100,444.123565
1319.669988,-8956.491898,0.000000,592.164754
1319.670300,-8882.471304,0.000000,444.123565
1319.670611,-8438.347739,76.609550,518.144159
1319.670923,-9104.533087,-153.219100,222.061783
1319.671234,-8512.368333,0.000000,962.267725
1319.671546,-8808.450710,-306.438199,296.082377
1319.671857,-8808.450710,0.000000,592.164754
1319.672169,-8956.491898,0.000000,518.144159
1319.672480,-8956.491898,153.219100,296.082377
1319.672792,-9104.533087,153.219100,740.205942
1319.673103,-8734.430116,76.609550,888.247130
1319.673415,-8882.471304,0.000000,444.123565
1319.673726,-8142.265362,-459.657299,666.185348
1319.674038,-8956.491898,306.438199,370.102971
1319.674350,-8956.491898,0.000000,666.185348
1319.674661,-8882.471304,0.000000,444.123565
1319.674973,-9030.512492,0.000000,518.144159
1319.675284,-8956.491898,0.000000,592.164754
1319.675596,-8734.430116,306.438199,592.164754
1319.675907,-8956.491898,-842.705048,518.144159
1319.676219,-9104.533087,-153.219100,222.061783
1319.676530,-8660.409521,-306.438199,740.205942
1319.676842,-8956.491898,0.000000,518.144159
1319.677153,-8956.491898,0.000000,518.144159
1319.677465,-9104.533087,0.000000,444.123565
1319.677776,-8956.491898,0.000000,592.164754
1319.678088,-8956.491898,-306.438199,296.082377
1319.678399,-9030.512492,153.219100,592.164754
1319.678711,-8660.409521,153.219100,518.144159
1319.679022,-8956.491898,0.000000,370.102971
1319.679334,-8956.491898,0.000000,592.164754
1319.679645,-8808.450710,0.000000,666.185348
1319.679957,-8956.491898,0.000000,444.123565
1319.680268,-8660.409521,-536.266849,444.123565
1319.680580,-8808.450710,0.000000,518.144159
1319.680891,-8882.471304,0.000000,296.082377
1319.681203,-8586.388927,229.828649,666.185348
1319.681514,-8808.450710,0.000000,740.205942
1319.681826,-8956.491898,-153.219100,518.144159
1319.682138,-9030.512492,0.000000,518.144159
1319.682449,-9178.553681,-229.828649,518.144159
1319.682761,-9252.574275,-153.219100,592.164754
1319.683072,-9178.553681,0.000000,370.102971
1319.683384,-8438.347739,306.438199,444.123565
1319.683695,-8808.450710,0.000000,518.144159
1319.684007,-9030.512492,-306.438199,370.102971
1319.684318,-8882.471304,-229.828649,666.185348
1319.684630,-8956.491898,0.000000,592.164754
1319.684941,-8956.491898,76.609550,592.164754
1319.685253,-8586.388927,0.000000,518.144159
1319.685564,-9474.636058,0.000000,148.041188
1319.685876,-8734.430116,229.828649,-0.000000
1319.686187,-8586.388927,0.000000,666.185348
1319.686499,-8956.491898,0.000000,592.164754
1319.686810,-9104.533087,0.000000,592.164754
1319.687122,-9104.533087,0.000000,518.144159
1319.687433,-9104.533087,0.000000,592.164754
1319.687745,-8808.450710,153.219100,518.144159
1319.688056,-8956.491898,766.095498,296.082377
1319.688368,-9030.512492,76.609550,296.082377
1319.688679,-8882.471304,153.219100,814.226536
1319.688991,-8808.450710,0.000000,814.226536
1319.689302,-8882.471304,0.000000,592.164754
1319.689614,-8956.491898,0.000000,666.185348
1319.689925,-9030.512492,306.438199,444.123565
1319.690237,-9030.512492,0.000000,370.102971
1319.690549,-8808.450710,306.438199,814.226536
1319.690860,-8734.430116,-229.828649,592.164754
1319.691172,-8734.430116,0.000000,518.144159
1319.691483,-8808.450710,0.000000,592.164754
1319.691795,-8882.471304,-153.219100,444.123565
1319.692106,-9252.574275,0.000000,444.123565
1319.692418,-8660.409521,306.438199,370.102971
1319.692729,-9178.553681,0.000000,222.061783
1319.693041,-8734.430116,0.000000,444.123565
1319.693352,-8586.388927,76.609550,592.164754
1319.693664,-8956.491898,0.000000,370.102971
1319.693975,-9030.512492,0.000000,592.164754
1319.694287,-8956.491898,0.000000,518.144159
1319.694598,-9030.512492,0.000000,518.144159
1319.694910,-8808.450710,-229.828649,444.123565
1319.695221,-8660.409521,-153.219100,592.164754
1319.695533,-8808.450710,-766.095498,740.205942
1319.695844,-8660.409521,0.000000,222.061783
1319.696156,-9030.512492,0.000000,518.144159
1319.696467,-8956.491898,-229.828649,666.185348
1319.696779,-8882.471304,0.000000,518.144159
1319.697090,-8956.491898,-229.828649,518.144159
1319.697402,-8586.388927,0.000000,444.123565
1319.697713,-9178.553681,536.266849,296.082377
1319.698025,-9030.512492,-153.219100,592.164754
1319.698337,-9030.512492,-306.438199,592.164754
1319.698648,-8956.491898,0.000000,592.164754
1319.698960,-8882.471304,0.000000,592.164754
1319.699271,-8956.491898,153.219100,592.164754
1319.699583,-9030.512492,-383.047749,518.144159
1319.699894,-8586.388927,0.000000,592.164754
1319.700206,-8956.491898,-842.705048,444.123565
1319.700517,-8364.327145,-229.828649,296.082377
1319.700829,-8956.491898,0.000000,296.082377
1319.701140,-8808.450710,-153.219100,518.144159
1319.701452,-8882.471304,0.000000,370.102971
1319.701763,-8882.471304,-306.438199,518.144159
1319.702075,-9178.553681,383.047749,444.123565
1319.702386,-8808.450710,76.609550,740.205942
1319.702698,-8882.471304,0.000000,296.082377
1319.703009,-8882.471304,-229.828649,592.164754
1319.703321,-9104.533087,-153.219100,444.123565
1319.703632,-9104.533087,0.000000,518.144159
1319.703944,-9104.533087,0.000000,518.144159
1319.704255,-9252.574275,229.828649,444.123565
1319.704567,-9178.553681,0.000000,148.041188
1319.704878,-9030.512492,383.047749,296.082377
1319.705190,-8734.430116,76.609550,592.164754
1319.705501,-9030.512492,0.000000,444.123565
1319.705813,-8586.388927,0.000000,666.185348
1319.706124,-8734.430116,0.000000,592.164754
1319.706436,-9030.512492,0.000000,592.164754
1319.706748,-8808.450710,-229.828649,592.164754
1319.707059,-8734.430116,536.266849,666.185348
1319.707371,-8734.430116,-306.438199,370.102971
1319.707682,-8290.306550,-229.828649,814.226536
1319.707994,-8882.471304,0.000000,666.185348
1319.708305,-8882.471304,0.000000,592.164754
1319.708617,-8956.491898,-229.828649,666.185348
1319.708928,-8956.491898,0.000000,814.226536
1319.709240,-8660.409521,-383.047749,518.144159
1319.709551,-8882.471304,76.609550,370.102971
1319.709863,-9030.512492,383.047749,518.144159
1319.710174,-8438.347739,536.266849,222.061783
1319.710486,-9030.512492,0.000000,518.144159
1319.710797,-9178.553681,0.000000,296.082377
1319.711109,-8956.491898,0.000000,444.123565
1319.711420,-9030.512492,0.000000,592.164754
1319.711732,-8734.430116,-229.828649,444.123565
1319.712043,-8438.347739,0.000000,518.144159
1319.712355,-8660.409521,153.219100,370.102971
1319.712666,-9252.574275,0.000000,148.041188
1319.712978,-8956.491898,0.000000,518.144159
1319.713289,-10066.800811,306.438199,370.102971
1319.713601,-11843.295072,1378.971896,222.061783
1319.713912,-9992.780217,4136.915689,740.205942
1319.714224,-8068.244768,4903.011187,518.144159
1319.714536,-7254.018232,2987.772442,962.267725
1319.714847,-6291.750507,0.000000,1184.329507
1319.715159,-7105.977043,-1302.362347,-0.000000
1319.715470,-7105.977043,-766.095498,222.061783
1319.715782,-9178.553681,-919.314598,-592.164754
1319.716093,-13101.645173,-919.314598,-1110.308913
1319.716405,-10955.047942,1072.533697,-0.000000
1319.716716,-9918.759623,1072.533697,370.102971
1319.717028,-8364.327145,76.609550,2442.679609
1319.717339,-10362.883188,-612.876398,1998.556043
1319.717651,-11103.089130,2451.505594,1480.411884
1319.717962,-6143.709319,5132.839837,2368.659014
1319.718274,-6143.709319,4366.744339,1850.514855
1319.718585,-8438.347739,2451.505594,740.205942
1319.718897,-7624.121203,2528.115143,-1110.308913
1319.719208,-8142.265362,3064.381992,-1702.473667
1319.719520,-8364.327145,3830.477490,-740.205942
1319.719831,-9326.594869,3907.087040,-1258.350101
1319.720143,-14656.077652,919.314598,-1258.350101
1319.720454,-11399.171507,-766.095498,1998.556043
1319.720766,-9326.594869,-536.266849,1406.391290
1319.721077,-10362.883188,3217.601092,1480.411884
1319.721389,-7476.080014,7048.078582,2368.659014
1319.721700,-9030.512492,4826.401637,740.205942
1319.722012,-6883.915261,2604.724693,2738.761985
1319.722324,-6217.729913,6281.983084,1554.432478
1319.722635,-7328.038826,7354.516781,-0.000000
1319.722947,-8364.327145,6128.763984,-1036.288319
1319.723258,-10214.842000,4290.134789,-222.061783
1319.723570,-9030.512492,5439.278036,-1998.556043
1319.723881,-10881.027347,6052.154434,-592.164754
1319.724193,-11843.295072,4366.744339,-296.082377
