#time,accel_x,accel_y,accel_z
1244.480223,-8734.430116,153.219100,444.123565
1244.480534,-8956.491898,229.828649,370.102971
1244.480846,-8660.409521,0.000000,740.205942
1244.481158,-8882.471304,0.000000,444.123565
1244.481469,-8734.430116,-306.438199,592.164754
1244.481781,-9104.533087,0.000000,222.061783
1244.482093,-8882.471304,-153.219100,592.164754
1244.482404,-8882.471304,0.000000,518.144159
1244.482716,-9104.533087,0.000000,592.164754
1244.483028,-9252.574275,-153.219100,222.061783
1244.483339,-8808.450710,-229.828649,518.144159
1244.483651,-8734.430116,153.219100,592.164754
1244.483963,-8734.430116,459.657299,592.164754
1244.484274,-8956.491898,0.000000,518.144159
1244.484586,-9030.512492,0.000000,592.164754
1244.484898,-9030.512492,76.609550,592.164754
1244.485209,-8808.450710,0.000000,592.164754
1244.485521,-8660.409521,76.609550,148.041188
1244.485833,-8808.450710,229.828649,296.082377
1244.486144,-8734.430116,153.219100,370.102971
1244.486456,-8438.347739,0.000000,740.205942
1244.486768,-8956.491898,0.000000,444.123565
1244.487079,-8882.471304,0.000000,592.164754
1244.487391,-8882.471304,-153.219100,592.164754
1244.487703,-8808.450710,-229.828649,740.205942
1244.488014,-8734.430116,-306.438199,592.164754
1244.488326,-9104.533087,-306.438199,592.164754
1244.488638,-9252.574275,-306.438199,814.226536
1244.488949,-9252.574275,0.000000,222.061783
1244.489261,-9104.533087,0.000000,592.164754
1244.489573,-8956.491898,0.000000,592.164754
1244.489884,-8808.450710,0.000000,592.164754
1244.490196,-8808.450710,0.000000,666.185348
1244.490508,-9104.533087,-306.438199,370.102971
1244.490819,-8956.491898,306.438199,888.247130
1244.491131,-8734.430116,76.609550,814.226536
1244.491443,-8808.450710,-306.438199,740.205942
1244.491754,-8808.450710,0.000000,444.123565
1244.492066,-8808.450710,-229.828649,666.185348
1244.492378,-8956.491898,0.000000,666.185348
1244.492689,-8808.450710,229.828649,370.102971
1244.493001,-8882.471304,0.000000,518.144159
1244.493313,-8734.430116,0.000000,370.102971
1244.493624,-8808.450710,76.609550,296.082377
1244.493936,-8882.471304,0.000000,666.185348
1244.494248,-8882.471304,-229.828649,592.164754
1244.494559,-8808.450710,0.000000,444.123565
1244.494871,-8734.430116,-459.657299,666.185348
1244.495183,-8882.471304,-229.828649,592.164754
1244.495494,-8734.430116,-153.219100,666.185348
1244.495806,-8882.471304,306.438199,592.164754
1244.496118,-8660.409521,76.609550,592.164754
1244.496429,-9030.512492,0.000000,592.164754
1244.496741,-8956.491898,0.000000,666.185348
1244.497053,-9030.512492,-383.047749,296.082377
1244.497364,-8882.471304,153.219100,518.144159
1244.497676,-8808.450710,0.000000,148.041188
1244.497988,-8734.430116,229.828649,296.082377
1244.498299,-9030.512492,383.047749,370.102971
1244.498611,-9104.533087,0.000000,370.102971
1244.498923,-8808.450710,76.609550,592.164754
1244.499234,-8882.471304,0.000000,740.205942
1244.499546,-8956.491898,0.000000,518.144159
1244.499858,-8808.450710,76.609550,444.123565
1244.500169,-9104.533087,-383.047749,444.123565
1244.500481,-8808.450710,689.485948,1110.308913
1244.500793,-8882.471304,-612.876398,740.205942
1244.501104,-8882.471304,306.438199,666.185348
1244.501416,-8882.471304,-76.609550,444.123565
1244.501728,-8882.471304,0.000000,592.164754
1244.502039,-9104.533087,-383.047749,370.102971
1244.502351,-8438.347739,0.000000,370.102971
1244.502663,-8660.409521,153.219100,518.144159
1244.502974,-8808.450710,-383.047749,740.205942
1244.503286,-9104.533087,0.000000,740.205942
1244.503598,-9104.533087,0.000000,518.144159
1244.503909,-8808.450710,0.000000,592.164754
1244.504221,-8808.450710,0.000000,518.144159
1244.504533,-9030.512492,0.000000,518.144159
1244.504844,-9178.553681,-153.219100,148.041188
1244.505156,-8660.409521,-229.828649,592.164754
1244.505468,-8734.430116,306.438199,222.061783
1244.505779,-9178.553681,0.000000,518.144159
1244.506091,-8956.491898,-229.828649,518.144159
1244.506403,-8808.450710,0.000000,740.205942
1244.506714,-9548.656652,153.219100,518.144159
1244.507026,-11843.295072,1532.190996,222.061783
1244.507338,-9992.780217,3753.867940,888.247130
1244.507649,-8216.285956,4596.572988,666.185348
1244.507961,-7476.080014,2757.943793,1110.308913
1244.508273,-6439.791695,-459.657299,1036.288319
1244.508584,-7328.038826,-1532.190996,-222.061783
1244.508896,-7105.977043,-842.705048,-148.041188
1244.509208,-8956.491898,-459.657299,-888.247130
1244.509519,-13101.645173,-1149.143247,-1184.329507
1244.509831,-11325.150913,536.266849,592.164754
1244.510143,-9770.718434,229.828649,666.185348
1244.510454,-9030.512492,0.000000,2294.638420
1244.510766,-10510.924376,-306.438199,2516.700203
1244.511078,-11177.109724,2374.896044,1628.453072
1244.511389,-5551.544565,5439.278036,2664.741391
1244.511701,-5551.544565,4519.963438,1554.432478
1244.512013,-8216.285956,2987.772442,-0.000000
1244.512324,-7105.977043,3064.381992,-1406.391290
1244.512636,-8512.368333,3600.648841,-2368.659014
1244.512948,-9178.553681,4136.915689,-518.144159
1244.513259,-9992.780217,3677.258390,-1110.308913
1244.513571,-14656.077652,689.485948,-888.247130
1244.513883,-11251.130318,-1302.362347,2516.700203
1244.514194,-8734.430116,-766.095498,1702.473667
1244.514506,-10140.821405,2987.772442,1258.350101
1244.514818,-6957.935855,7354.516781,2812.782580
1244.515129,-8216.285956,4903.011187,1332.370696
1244.515441,-6069.688724,2911.162892,3108.864956
1244.515753,-6513.812290,5669.106685,1110.308913
1244.516064,-7624.121203,7124.688131,-444.123565
1244.516376,-8438.347739,6511.811733,-1406.391290
1244.516688,-10732.986159,5056.230287,-592.164754
1244.516999,-9252.574275,4826.401637,-1480.411884
1244.517311,-11547.212695,5592.497135,-518.144159
1244.517623,-11325.150913,4213.525239,296.082377
1244.517934,-10658.965565,3447.429741,1406.391290
1244.518246,-10214.842000,4290.134789,2072.576638
1244.518558,-7994.224174,5362.668486,2368.659014
1244.518869,-6291.750507,4979.620737,1184.329507
1244.519181,-5699.585753,4979.620737,814.226536
1244.519493,-5107.421000,4903.011187,296.082377
1244.519804,-5329.482782,5286.058936,-1036.288319
1244.520116,-7031.956449,3907.087040,-1258.350101
1244.520428,-9178.553681,3524.039291,-370.102971
1244.520739,-10140.821405,2068.457845,-74.020594
1244.521051,-10955.047942,995.924147,444.123565
1244.521363,-11103.089130,842.705048,1554.432478
1244.521674,-11473.192101,0.000000,1628.453072
1244.521986,-9844.739029,1762.019645,2220.617826
1244.522298,-8142.265362,2451.505594,2146.597232
1244.522609,-6365.771101,3524.039291,740.205942
1244.522921,-6291.750507,2298.286494,592.164754
1244.523233,-7105.977043,2145.067394,-666.185348
1244.523544,-6587.832884,2834.553343,-518.144159
1244.523856,-6809.894666,1991.848295,-1184.329507
1244.524168,-8290.306550,-1072.533697,-1184.329507
1244.524479,-9992.780217,-3983.696590,-222.061783
1244.524791,-10658.965565,-3830.477490,1184.329507
1244.525103,-11843.295072,-3830.477490,1776.494261
1244.525414,-12805.562797,-3983.696590,2146.597232
1244.525726,-12879.583391,-2757.943793,1702.473667
1244.526038,-11991.336260,-536.266849,740.205942
1244.526349,-9548.656652,1915.238745,-444.123565
1244.526661,-7254.018232,3524.039291,-370.102971
1244.526973,-6883.915261,3677.258390,-1110.308913
1244.527284,-7402.059420,3524.039291,-518.144159
1244.527596,-7402.059420,2145.067394,-0.000000
1244.527908,-8586.388927,995.924147,296.082377
1244.528219,-9548.656652,-306.438199,1258.350101
1244.528531,-10807.006753,-2451.505594,666.185348
1244.528843,-11991.336260,-4060.306139,370.102971
1244.529154,-12213.398043,-4213.525239,296.082377
1244.529466,-12435.459826,-2374.896044,-0.000000
1244.529778,-12065.356855,76.609550,444.123565
1244.530089,-11399.171507,1455.581446,148.041188
1244.530401,-9326.594869,2221.676944,592.164754
1244.530713,-6513.812290,2911.162892,888.247130
1244.531024,-4367.215058,3370.820191,814.226536
1244.531336,-2368.659014,3217.601092,222.061783
1244.531648,-2368.659014,2221.676944,-0.000000
1244.531959,-4737.318029,306.438199,222.061783
1244.532271,-7328.038826,0.000000,296.082377
1244.532583,-11029.068536,-1149.143247,148.041188
1244.532894,-12805.562797,-1225.752797,666.185348
1244.533206,-13249.686362,-1378.971896,1406.391290
1244.533518,-12583.501014,-766.095498,1184.329507
1244.533829,-11325.150913,612.876398,-0.000000
1244.534141,-9104.533087,2681.334243,-74.020594
1244.534453,-6513.812290,3907.087040,-0.000000
1244.534764,-4367.215058,5132.839837,-0.000000
1244.535076,-3034.844362,4596.572988,296.082377
1244.535388,-2812.782580,1915.238745,962.267725
1244.535699,-3997.112087,-766.095498,1924.535449
1244.536011,-6661.853478,-2604.724693,1628.453072
1244.536323,-9770.718434,-3983.696590,1554.432478
1244.536634,-12731.542202,-4826.401637,962.267725
1244.536946,-14063.912898,-4519.963438,1332.370696
1244.537258,-14211.954086,-3524.039291,1332.370696
1244.537569,-14063.912898,-1838.629195,-0.000000
1244.537881,-12879.583391,229.828649,-370.102971
1244.538193,-10584.944971,2604.724693,-0.000000
1244.538504,-7328.038826,3753.867940,222.061783
1244.538816,-4885.359217,3524.039291,-592.164754
1244.539128,-3478.967927,2757.943793,-0.000000
1244.539439,-2738.761985,995.924147,370.102971
1244.539751,-2886.803174,-766.095498,1110.308913
1244.540063,-6809.894666,-2604.724693,370.102971
1244.540374,-10881.027347,-3600.648841,296.082377
1244.540686,-13767.830521,-4213.525239,592.164754
1244.540998,-15248.242405,-3753.867940,518.144159
1244.541309,-16284.530724,-2681.334243,370.102971
1244.541621,-16136.489536,-1378.971896,-0.000000
1244.541933,-13767.830521,536.266849,444.123565
1244.542244,-10140.821405,3217.601092,518.144159
1244.542556,-6365.771101,4673.182538,-74.020594
1244.542868,-4515.256246,3677.258390,-222.061783
1244.543179,-2738.761985,2604.724693,1554.432478
1244.543491,-2442.679609,1302.362347,1776.494261
1244.543803,-4885.359217,-1149.143247,444.123565
1244.544114,-8364.327145,-1149.143247,-444.123565
1244.544426,-12139.377449,-1991.848295,-592.164754
1244.544738,-13693.809927,-1378.971896,-0.000000
1244.545049,-14508.036463,-1072.533697,-74.020594
1244.545361,-15026.180623,-842.705048,-222.061783
1244.545673,-12879.583391,612.876398,296.082377
1244.545984,-8734.430116,2987.772442,592.164754
1244.546296,-4737.318029,4979.620737,296.082377
1244.546608,-2812.782580,4596.572988,814.226536
1244.546919,-592.164754,2681.334243,2072.576638
1244.547231,296.082377,1532.190996,1184.329507
1244.547543,-1776.494261,689.485948,296.082377
1244.547854,-6143.709319,-1302.362347,-740.205942
1244.548166,-11547.212695,-2298.286494,-666.185348
1244.548478,-14434.015869,-2528.115143,1110.308913
1244.548789,-15544.324782,-3294.210641,2220.617826
1244.549101,-16432.571912,-2987.772442,1776.494261
1244.549413,-15100.201217,-1149.143247,1258.350101
1244.549724,-11547.212695,2221.676944,740.205942
1244.550036,-6661.853478,4673.182538,-518.144159
1244.550348,-3478.967927,6435.202183,-222.061783
1244.550659,-1702.473667,5056.230287,-0.000000
1244.550971,-814.226536,2298.286494,1036.288319
1244.551283,-2146.597232,-612.876398,1554.432478
1244.551594,-6069.688724,-2911.162892,1480.411884
1244.551906,-10658.965565,-4673.182538,1184.329507
1244.552218,-14730.098246,-5439.278036,1702.473667
1244.552529,-16136.489536,-5439.278036,1554.432478
1244.552841,-16950.716072,-4596.572988,592.164754
1244.553152,-16358.551318,-2374.896044,-148.041188
1244.553463,-14285.974681,0.000000,-0.000000
1244.553775,-11103.089130,2834.553343,-0.000000
1244.554086,-6735.874072,4443.353888,666.185348
1244.554398,-2368.659014,3370.820191,-0.000000
1244.554709,-1110.308913,1455.581446,370.102971
1244.555021,296.082377,-536.266849,1332.370696
1244.555332,-2146.597232,-2221.676944,814.226536
1244.555644,-6883.915261,-4519.963438,-0.000000
1244.555955,-12213.398043,-4903.011187,-0.000000
1244.556266,-15248.242405,-5362.668486,1036.288319
1244.556578,-17468.860231,-4903.011187,666.185348
1244.556889,-18801.230927,-3217.601092,666.185348
1244.557201,-16654.633695,-536.266849,222.061783
1244.557512,-12805.562797,3370.820191,666.185348
1244.557824,-7328.038826,5209.449386,-0.000000
1244.558135,-2590.720797,5822.325785,-1036.288319
1244.558446,-740.205942,4826.401637,296.082377
1244.558758,0.000000,2987.772442,1258.350101
1244.559069,-1628.453072,1378.971896,-0.000000
1244.559381,-5699.585753,-1225.752797,-814.226536
1244.559692,-10436.903782,-2604.724693,-740.205942
1244.560004,-13989.892304,-3447.429741,148.041188
1244.560315,-16432.571912,-3140.991542,1628.453072
1244.560627,-16876.695478,-2528.115143,1628.453072
1244.560938,-16062.468941,-1225.752797,1776.494261
1244.561249,-12509.480420,842.705048,1998.556043
1244.561561,-7476.080014,4979.620737,222.061783
1244.561872,-3627.009116,6894.859482,-592.164754
1244.562184,592.164754,6511.811733,-222.061783
1244.562495,2442.679609,4060.306139,222.061783
1244.562807,1332.370696,1685.410096,-814.226536
1244.563118,-3256.906145,-383.047749,-518.144159
1244.563430,-8068.244768,-2604.724693,-592.164754
1244.563741,-13841.851115,-3140.991542,592.164754
1244.564052,-16950.716072,-4519.963438,2220.617826
1244.564364,-18505.148550,-4519.963438,3108.864956
1244.564675,-18135.045579,-3447.429741,3034.844362
1244.564987,-14359.995275,-229.828649,2812.782580
1244.565298,-9992.780217,4136.915689,888.247130
1244.565610,-5847.626942,5745.716235,-666.185348
1244.565921,-1628.453072,6971.469032,-1998.556043
1244.566232,592.164754,5362.668486,-370.102971
1244.566544,222.061783,1532.190996,-444.123565
1244.566855,-2590.720797,-2068.457845,1036.288319
1244.567167,-7624.121203,-4519.963438,666.185348
1244.567478,-12879.583391,-5515.887586,2072.576638
1244.567790,-15988.448347,-6741.640382,2738.761985
1244.568101,-17172.777854,-6358.592633,2442.679609
1244.568413,-17838.963202,-4903.011187,1332.370696
1244.568724,-15840.407159,-1838.629195,370.102971
1244.569035,-13101.645173,1302.362347,296.082377
1244.569347,-9252.574275,3753.867940,148.041188
1244.569658,-4071.132681,4903.011187,-814.226536
1244.569970,-518.144159,2757.943793,-888.247130
1244.570281,1406.391290,842.705048,-962.267725
1244.570593,962.267725,-459.657299,148.041188
1244.570904,-2886.803174,-3140.991542,-888.247130
1244.571215,-8808.450710,-4596.572988,-444.123565
1244.571527,-14285.974681,-5898.935335,1850.514855
1244.571838,-17690.922014,-6205.373534,2368.659014
1244.572150,-19467.416275,-4903.011187,2664.741391
1244.572461,-18653.189738,-2528.115143,1924.535449
1244.572773,-14656.077652,1072.533697,1554.432478
1244.573084,-10140.821405,3830.477490,-0.000000
1244.573396,-5107.421000,6588.421283,-1110.308913
1244.573707,-1554.432478,6435.202183,-1850.514855
1244.574018,962.267725,3983.696590,-1110.308913
1244.574330,740.205942,2298.286494,-518.144159
1244.574641,-3182.885551,-1225.752797,-962.267725
1244.574953,-7476.080014,-3600.648841,-592.164754
1244.575264,-12583.501014,-5209.449386,222.061783
1244.575576,-15988.448347,-4596.572988,1850.514855
1244.575887,-18283.086767,-3753.867940,3182.885551
1244.576199,-19319.375086,-2374.896044,1850.514855
1244.576510,-16062.468941,459.657299,1850.514855
1244.576821,-11325.150913,3983.696590,222.061783
1244.577133,-5477.523971,6818.249932,-2146.597232
1244.577444,-148.041188,8733.488677,-2960.823768
1244.577756,2590.720797,6128.763984,-1406.391290
1244.578067,2738.761985,2451.505594,-888.247130
1244.578379,518.144159,153.219100,-222.061783
1244.578690,-5477.523971,-2451.505594,-444.123565
1244.579001,-11399.171507,-3753.867940,888.247130
1244.579313,-16728.654289,-5515.887586,1850.514855
1244.579624,-19763.498651,-4903.011187,3627.009116
1244.579936,-19985.560434,-3983.696590,3775.050304
1244.580247,-17320.819043,-1072.533697,2664.741391
1244.580559,-12657.521608,2604.724693,1258.350101
1244.580870,-7698.141797,4903.011187,-666.185348
1244.581182,-2516.700203,6741.640382,-1184.329507
1244.581493,1480.411884,5745.716235,-1332.370696
1244.581804,2146.597232,2987.772442,-592.164754
1244.582116,222.061783,0.000000,296.082377
1244.582427,-4441.235652,-2987.772442,1036.288319
1244.582739,-9400.615463,-4366.744339,2294.638420
1244.583050,-14211.954086,-6128.763984,3034.844362
1244.583362,-16876.695478,-6128.763984,3701.029710
1244.583673,-18727.210333,-5209.449386,3478.967927
1244.583984,-17987.004391,-2757.943793,2442.679609
1244.584296,-14211.954086,153.219100,1184.329507
1244.584607,-10288.862594,3600.648841,370.102971
1244.584919,-5625.565159,5362.668486,-370.102971
1244.585230,-222.061783,7124.688131,-2294.638420
1244.585542,1776.494261,3217.601092,-2368.659014
1244.585853,1850.514855,842.705048,-1110.308913
1244.586165,-592.164754,-1532.190996,370.102971
1244.586476,-6143.709319,-3907.087040,148.041188
1244.586787,-11917.315666,-5592.497135,1702.473667
1244.587099,-16950.716072,-6588.421283,2738.761985
