#time,accel_x,accel_y,accel_z
1442.676000,-8956.491898,153.219100,666.185348
1442.676312,-9030.512492,-153.219100,370.102971
1442.676623,-8882.471304,-306.438199,518.144159
1442.676935,-8660.409521,-306.438199,592.164754
1442.677246,-9178.553681,0.000000,666.185348
1442.677558,-9104.533087,-612.876398,666.185348
1442.677869,-8660.409521,-153.219100,814.226536
1442.678181,-8956.491898,-229.828649,592.164754
1442.678492,-9030.512492,0.000000,370.102971
1442.678803,-9030.512492,0.000000,592.164754
1442.679115,-8956.491898,0.000000,666.185348
1442.679426,-9178.553681,229.828649,592.164754
1442.679738,-8956.491898,0.000000,592.164754
1442.680049,-8808.450710,0.000000,518.144159
1442.680361,-8512.368333,0.000000,740.205942
1442.680672,-8290.306550,0.000000,444.123565
1442.680984,-8808.450710,0.000000,518.144159
1442.681295,-8734.430116,-153.219100,518.144159
1442.681607,-8808.450710,-229.828649,444.123565
1442.681918,-8882.471304,-153.219100,592.164754
1442.682230,-8882.471304,0.000000,222.061783
1442.682541,-8512.368333,-306.438199,370.102971
1442.682853,-9252.574275,-383.047749,-0.000000
1442.683164,-8882.471304,229.828649,444.123565
1442.683476,-8808.450710,0.000000,592.164754
1442.683787,-8882.471304,0.000000,592.164754
1442.684099,-8808.450710,0.000000,592.164754
1442.684410,-8956.491898,0.000000,518.144159
1442.684722,-9030.512492,0.000000,592.164754
1442.685033,-8882.471304,0.000000,370.102971
1442.685344,-8512.368333,383.047749,518.144159
1442.685656,-8956.491898,-306.438199,370.102971
1442.685967,-9030.512492,0.000000,592.164754
1442.686279,-8882.471304,0.000000,666.185348
1442.686590,-8956.491898,0.000000,666.185348
1442.686902,-8956.491898,153.219100,592.164754
1442.687213,-8882.471304,-612.876398,740.205942
1442.687525,-8660.409521,-306.438199,518.144159
1442.687836,-8956.491898,-153.219100,370.102971
1442.688148,-9030.512492,-229.828649,518.144159
1442.688459,-9030.512492,0.000000,444.123565
1442.688771,-8956.491898,0.000000,444.123565
1442.689082,-9030.512492,0.000000,518.144159
1442.689394,-9252.574275,229.828649,370.102971
1442.689705,-8216.285956,-153.219100,666.185348
1442.690017,-8512.368333,-229.828649,222.061783
1442.690328,-8512.368333,76.609550,592.164754
1442.690640,-8956.491898,-153.219100,666.185348
1442.690951,-8882.471304,-153.219100,740.205942
1442.691263,-8882.471304,0.000000,740.205942
1442.691574,-8956.491898,0.000000,518.144159
1442.691885,-9030.512492,0.000000,444.123565
1442.692197,-8882.471304,-153.219100,370.102971
1442.692508,-8882.471304,229.828649,296.082377
1442.692820,-8882.471304,-383.047749,666.185348
1442.693131,-9030.512492,0.000000,592.164754
1442.693443,-8956.491898,0.000000,518.144159
1442.693754,-8956.491898,0.000000,444.123565
1442.694066,-8956.491898,0.000000,666.185348
1442.694377,-9104.533087,-229.828649,814.226536
1442.694689,-8512.368333,-229.828649,592.164754
1442.695000,-8734.430116,-766.095498,814.226536
1442.695312,-9030.512492,-612.876398,592.164754
1442.695623,-8882.471304,0.000000,592.164754
1442.695935,-8882.471304,-229.828649,518.144159
1442.696246,-8956.491898,0.000000,666.185348
1442.696558,-9030.512492,153.219100,518.144159
1442.696869,-8882.471304,-612.876398,814.226536
1442.697181,-8882.471304,0.000000,518.144159
1442.697492,-8956.491898,0.000000,222.061783
1442.697804,-8734.430116,-229.828649,740.205942
1442.698115,-8808.450710,0.000000,592.164754
1442.698427,-8808.450710,0.000000,592.164754
1442.698738,-9030.512492,-153.219100,666.185348
1442.699049,-9030.512492,-459.657299,518.144159
1442.699361,-8882.471304,-306.438199,370.102971
1442.699672,-9326.594869,76.609550,-0.000000
1442.699984,-8956.491898,383.047749,666.185348
1442.700295,-9030.512492,0.000000,370.102971
1442.700607,-9030.512492,0.000000,370.102971
1442.700918,-9030.512492,0.000000,444.123565
1442.701230,-8956.491898,0.000000,444.123565
1442.701541,-8956.491898,76.609550,296.082377
1442.701853,-9030.512492,229.828649,592.164754
1442.702164,-8734.430116,-153.219100,222.061783
1442.702476,-8882.471304,306.438199,370.102971
1442.702787,-8734.430116,0.000000,518.144159
1442.703099,-8882.471304,-76.609550,592.164754
1442.703410,-9178.553681,-153.219100,592.164754
1442.703722,-9104.533087,-153.219100,592.164754
1442.704033,-8882.471304,-306.438199,740.205942
1442.704345,-8438.347739,306.438199,666.185348
1442.704656,-8438.347739,76.609550,370.102971
1442.704968,-8808.450710,459.657299,518.144159
1442.705279,-8956.491898,0.000000,592.164754
1442.705590,-8882.471304,0.000000,370.102971
1442.705902,-8808.450710,0.000000,740.205942
1442.706213,-8808.450710,0.000000,666.185348
1442.706525,-8956.491898,0.000000,518.144159
1442.706836,-8882.471304,0.000000,444.123565
1442.707148,-8660.409521,0.000000,296.082377
1442.707459,-8956.491898,-153.219100,222.061783
1442.707771,-9178.553681,0.000000,370.102971
1442.708082,-9030.512492,-153.219100,444.123565
1442.708394,-9104.533087,0.000000,666.185348
1442.708705,-9030.512492,229.828649,592.164754
1442.709017,-9252.574275,-383.047749,592.164754
1442.709328,-10881.027347,383.047749,-0.000000
1442.709640,-11103.089130,3064.381992,-0.000000
1442.709951,-8586.388927,5209.449386,666.185348
1442.710263,-7698.141797,3907.087040,962.267725
1442.710574,-6735.874072,995.924147,1628.453072
1442.710886,-6883.915261,-1302.362347,-0.000000
1442.711197,-7105.977043,-919.314598,-0.000000
